"JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
NA,NA,65,NA,NA,2,1,1,23,25000,1007588,8303
1,98,25,1,4610,2,1,1,20,24000,1007588,8303
NA,NA,44,8,4830,2,1,1,20,2000,1007588,11106
1,204,52,6,5940,1,1,1,19,60000,1007588,11106
NA,NA,15,NA,NA,1,5,1,12,0,1007588,11106
1,93,51,1,410,2,1,1,18,36000,1007588,11103
1,97,54,1,8965,1,1,1,16,158000,1007588,11103
NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11103
NA,NA,8,NA,NA,1,5,1,4,NA,1007588,11103
1,84,37,1,20,1,5,1,19,62000,1007588,8303
1,109,32,1,800,2,5,1,21,79000,1007588,8303
NA,NA,18,NA,NA,2,5,1,19,0,1007588,8303
NA,NA,82,NA,NA,2,2,1,20,1900,1007588,8303
1,118,56,1,1300,1,1,1,20,85200,1007588,11104
1,99,54,1,4350,2,1,1,16,24000,1007588,11104
NA,NA,19,1,2630,1,5,1,19,2700,1007588,8303
10,59,48,3,4020,1,1,1,13,38000,1007588,8303
1,132,46,3,4140,2,1,1,13,11000,1007588,8303
10,69,23,3,4120,1,5,1,19,21000,1007588,8303
NA,NA,69,NA,NA,2,1,1,22,2900,1007588,11104
NA,NA,74,NA,NA,1,1,1,22,75600,1007588,11104
NA,NA,19,1,4000,1,5,1,18,11500,1007588,8303
NA,NA,58,2,50,2,1,1,18,3000,1007588,11104
1,75,60,1,4710,1,1,1,18,111000,1007588,11104
12,96,19,4,5510,1,5,1,19,600,1007588,8303
1,85,48,1,6005,1,1,1,17,54000,1007588,11103
1,147,45,1,7800,2,1,1,8,10500,1007588,11103
1,127,21,1,5160,2,5,1,20,12000,1007588,11103
1,163,18,3,2310,2,5,1,19,15000,1007588,11103
NA,NA,15,NA,NA,1,5,1,14,0,1007588,11103
NA,NA,6,NA,NA,1,5,1,3,NA,1007588,11103
NA,NA,20,9,9920,1,5,1,19,15000,1007588,8303
1,166,32,5,5550,1,1,1,16,73000,1007588,11103
NA,NA,32,2,5350,2,1,1,15,0,1007588,11103
NA,NA,11,NA,NA,1,5,1,9,NA,1007588,11103
1,119,61,7,8740,1,4,1,19,23000,1007588,11104
1,107,43,1,50,1,1,1,21,90000,1007588,8303
NA,NA,42,NA,NA,2,1,1,22,75000,1007588,8303
NA,NA,9,NA,NA,1,5,1,5,NA,1007588,8303
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,8303
1,181,37,3,3850,1,1,1,21,135000,1007588,11104
1,95,35,6,4510,2,1,1,20,33000,1007588,11104
NA,NA,8,NA,NA,1,5,1,5,NA,1007588,11104
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104
NA,NA,80,NA,NA,2,2,1,19,28500,1007588,11103
1,90,49,1,430,2,1,1,18,20000,1007588,11106
1,87,54,1,1540,1,1,1,18,70000,1007588,11106
NA,NA,18,NA,NA,1,5,1,16,0,1007588,11106
NA,NA,17,NA,NA,1,5,1,14,0,1007588,11106
1,87,48,1,5860,2,1,2,21,48000,1007588,11103
1,69,51,1,5240,1,1,2,16,38000,1007588,11103
NA,NA,16,NA,NA,2,5,2,12,0,1007588,11103
NA,NA,69,3,2310,2,2,1,22,86000,1007588,11104
1,66,45,1,5120,2,1,1,19,35000,1007588,11106
NA,NA,75,NA,NA,2,1,1,10,6000,1007588,11106
1,55,43,6,2600,1,1,1,19,30100,1007588,11106
1,53,46,3,3420,2,1,1,19,58000,1007588,11106
NA,NA,38,NA,NA,1,5,1,16,0,1007588,11103
NA,NA,12,NA,NA,2,5,1,8,NA,1007588,11103
8,90,48,1,4230,2,3,1,21,10000,1007588,11103
1,77,22,5,9820,2,5,1,16,24000,1007588,11103
NA,NA,81,NA,NA,2,1,1,21,11410,1007588,11106
NA,NA,80,NA,NA,1,1,1,21,51600,1007588,11106
1,120,33,1,230,1,1,1,21,50000,1007588,11106
NA,NA,37,3,2310,2,1,1,22,300,1007588,11106
NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,11106
1,101,56,5,430,1,1,1,20,80050,1007588,8303
NA,NA,54,NA,NA,2,1,1,23,0,1007588,8303
NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303
NA,NA,8,NA,NA,1,5,1,4,NA,1007588,8303
NA,NA,90,NA,NA,2,2,1,16,14700,1007588,11104
1,210,36,1,430,1,1,1,22,227000,1007588,8303
1,61,34,1,136,2,1,1,22,187000,1007588,8303
NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,8303
9,85,60,3,2310,2,1,1,21,70000,1007588,11104
8,95,56,1,1540,1,1,1,18,40000,1007588,11104
NA,NA,77,NA,NA,2,2,1,16,30700,1007588,11106
2,94,39,6,6260,1,1,2,7,15000,1007588,11103
NA,NA,43,NA,NA,2,1,2,9,0,1007588,11103
NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11103
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103
1,93,44,1,110,1,1,1,21,95500,1007588,11106
1,81,46,1,800,2,1,1,22,115400,1007588,11106
NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106
NA,NA,41,1,8640,1,5,1,21,26000,1007588,8303
1,128,29,2,350,2,5,1,22,15000,1007588,8303
NA,NA,69,4,2540,2,2,1,19,30400,1007588,8303
1,106,43,5,1020,1,1,1,21,80000,1007588,11103
NA,NA,32,1,4520,2,1,1,20,0,1007588,11103
NA,NA,4,NA,NA,2,5,1,2,NA,1007588,11103
NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11103
NA,NA,67,6,4700,2,3,1,16,73000,1007588,11104
1,94,61,1,7750,1,1,1,21,37300,1007588,11104
1,93,62,3,1740,2,1,1,21,85000,1007588,11104
NA,NA,76,NA,NA,2,1,1,16,26500,1007588,8303
NA,NA,75,NA,NA,1,1,1,20,14600,1007588,8303
1,225,35,2,3255,2,1,1,21,70000,1007588,8303
1,88,37,3,630,1,1,1,22,50000,1007588,8303
1,84,37,1,1550,1,5,1,19,55000,1007588,8303
NA,NA,76,NA,NA,2,1,1,18,7600,1007588,8303
10,100,28,1,4020,1,5,2,12,20800,1007588,8303
10,184,50,1,4140,1,5,2,9,20000,1007588,8303
1,74,33,1,6330,1,5,2,9,26000,1007588,8303
10,170,25,1,4020,1,5,2,12,20800,1007588,8303
1,74,24,1,6330,1,1,2,12,18000,1007588,8303
10,170,21,1,4140,1,5,2,12,20000,1007588,8303
NA,NA,68,NA,NA,2,5,1,18,10300,1007588,11104
NA,NA,62,NA,NA,1,3,1,18,4100,1007588,11104
NA,NA,66,3,2310,2,1,1,19,17500,1007588,11106
NA,NA,68,NA,NA,1,1,1,21,162000,1007588,11106
NA,NA,51,NA,NA,1,1,1,11,13300,1007588,8303
1,62,49,1,120,1,5,1,22,225000,1007588,11104
NA,NA,70,NA,NA,2,1,1,9,6000,1007588,11103
1,70,66,1,4220,1,1,1,9,29400,1007588,11103
NA,NA,71,NA,NA,2,1,1,21,10100,1007588,11104
NA,NA,73,NA,NA,1,1,1,21,199600,1007588,11104
NA,NA,85,NA,NA,1,1,1,20,45600,1007588,11103
NA,NA,84,NA,NA,2,1,1,19,15600,1007588,11103
NA,NA,65,2,5700,2,3,1,19,28240,1007588,11103
NA,NA,52,NA,NA,1,5,2,21,0,1007588,11103
1,179,24,3,350,2,5,1,21,25000,1007588,11106
NA,NA,64,4,8300,1,3,2,19,0,1007588,11104
NA,NA,70,NA,NA,2,1,1,20,8500,1007588,8303
NA,NA,74,1,6260,1,1,1,18,54400,1007588,8303
NA,NA,87,NA,NA,1,1,1,11,25000,1007588,11104
1,106,38,1,8300,1,3,2,18,4600,1007588,11106
NA,NA,15,NA,NA,1,5,1,12,9600,1007588,11106
NA,NA,10,NA,NA,1,5,1,8,NA,1007588,11106
NA,NA,9,NA,NA,2,5,1,6,NA,1007588,11106
1,106,20,1,6050,1,5,2,16,20000,1007588,11106
NA,NA,15,NA,NA,2,5,1,12,0,1007588,11106
11,NA,37,2,4220,2,5,1,15,19200,1007588,11106
1,91,26,1,5940,2,5,1,19,16000,1007588,11104
1,108,26,1,310,1,5,1,19,16000,1007588,11104
NA,NA,68,NA,NA,1,1,1,23,91100,1007588,8303
NA,NA,68,NA,NA,2,1,1,21,83900,1007588,8303
NA,NA,85,NA,NA,1,2,1,18,17900,1007588,11104
1,70,28,1,5240,2,5,1,16,40100,1007588,11104
NA,NA,8,NA,NA,2,5,1,6,NA,1007588,11104
NA,NA,18,NA,NA,1,5,1,18,0,1007588,8303
NA,NA,67,1,2860,2,1,1,22,57000,1007588,8303
NA,NA,75,NA,NA,1,1,1,24,65600,1007588,8303
NA,NA,70,NA,NA,2,1,1,21,82300,1007588,11106
NA,NA,46,7,7315,1,1,1,21,95000,1007588,11106
1,121,18,1,4150,2,5,1,16,4400,1007588,11106
NA,NA,60,NA,NA,2,1,1,9,0,1007588,11103
1,100,66,1,4250,1,1,1,9,16800,1007588,11103
1,167,32,1,5240,2,1,1,19,26200,1007588,11103
1,110,21,3,2430,1,5,1,19,9300,1007588,11103
NA,NA,17,NA,NA,2,5,1,18,0,1007588,11103
NA,NA,13,NA,NA,2,5,1,11,NA,1007588,11103
1,88,55,1,5240,2,1,1,16,47800,1007588,11104
1,70,56,3,7330,1,1,1,19,70000,1007588,11104
1,109,29,1,3420,1,5,1,20,24000,1007588,11104
NA,NA,19,NA,NA,2,5,1,17,0,1007588,11104
1,76,45,2,8140,1,1,1,19,73600,1007588,11104
NA,NA,40,1,4710,2,1,1,10,19200,1007588,11104
NA,NA,13,NA,NA,2,5,1,11,NA,1007588,11104
NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11104
NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,11104
1,82,53,1,8740,1,3,1,21,85000,1007588,11103
NA,NA,52,NA,NA,2,3,1,15,850,1007588,11104
NA,NA,30,NA,NA,1,5,1,16,10300,1007588,11104
1,102,24,1,4110,2,5,1,19,25000,1007588,11104
1,165,22,1,4760,2,5,1,19,20000,1007588,11104
NA,NA,16,NA,NA,1,5,1,13,10700,1007588,11104
NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11104
NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11104
2,114,50,1,4230,2,3,1,9,14400,1007588,8303
NA,NA,13,NA,NA,2,5,1,10,NA,1007588,8303
NA,NA,9,NA,NA,1,5,1,6,NA,1007588,8303
1,74,54,1,6050,1,1,1,9,28000,1007588,8303
1,83,51,6,4700,1,1,1,13,12000,1007588,11103
1,42,38,1,7750,2,1,1,16,35000,1007588,11103
1,97,22,1,9620,1,5,1,16,17000,1007588,11103
NA,NA,17,NA,NA,1,5,1,14,0,1007588,11103
NA,NA,11,NA,NA,2,5,1,8,NA,1007588,11103
NA,NA,8,NA,NA,2,5,1,5,NA,1007588,11103
1,91,33,5,3030,2,1,1,22,72000,1007588,11106
1,122,34,1,3060,1,1,1,23,504000,1007588,11106
NA,NA,3,NA,NA,1,5,1,2,NA,1007588,11106
NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
9,95,26,1,2200,1,1,1,22,20000,1007588,8303
1,98,22,1,120,2,1,1,20,40000,1007588,8303
1,96,50,1,2300,2,3,1,19,25000,1007588,8303
1,53,56,6,4760,1,5,1,16,20000,1007588,11104
1,81,24,1,3620,2,5,1,21,23000,1007588,8303
1,84,24,1,3645,2,5,1,21,12000,1007588,8303
NA,NA,53,NA,NA,1,1,1,21,0,1007588,11106
NA,NA,36,NA,NA,2,1,1,21,0,1007588,11106
NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11106
11,NA,60,6,2340,2,1,1,19,16200,1007588,11106
1,116,67,7,4810,1,1,1,16,23700,1007588,11106
1,110,25,1,2810,2,5,1,20,52000,1007588,11106
1,100,29,1,5860,1,5,1,16,34000,1007588,11106
1,90,32,1,120,1,5,1,21,80000,1007588,11104
1,124,33,1,3730,1,5,1,21,55000,1007588,11104
1,114,50,6,4810,1,1,1,19,70000,1007588,11106
1,147,40,1,310,2,1,1,16,30000,1007588,11106
NA,NA,15,NA,NA,2,5,1,11,0,1007588,11106
NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11106
NA,NA,68,NA,NA,2,1,1,24,27400,1007588,8303
1,85,65,3,10,1,1,1,24,177000,1007588,8303
NA,NA,19,NA,NA,2,5,1,18,0,1007588,8303
NA,NA,84,NA,NA,1,1,1,16,17130,1007588,11106
NA,NA,85,NA,NA,2,1,1,16,7000,1007588,11106
NA,NA,75,7,10,1,1,1,22,54600,1007588,8303
NA,NA,69,NA,NA,2,1,1,20,14400,1007588,8303
NA,NA,78,NA,NA,2,1,1,22,103500,1007588,8303
NA,NA,90,NA,NA,1,1,1,22,34600,1007588,8303
NA,NA,82,NA,NA,1,1,1,21,54700,1007588,11106
NA,NA,77,NA,NA,2,1,1,19,9900,1007588,11106
NA,NA,39,1,6230,1,1,1,16,76800,1007588,11103
1,94,36,1,3600,2,1,1,16,22000,1007588,11103
NA,NA,16,NA,NA,2,5,1,11,0,1007588,11103
NA,NA,11,NA,NA,2,5,1,8,NA,1007588,11103
NA,NA,9,NA,NA,2,5,1,7,NA,1007588,11103
1,198,58,1,120,2,3,1,19,20000,1007588,11104
1,136,22,1,4430,1,5,1,19,6000,1007588,11104
10,80,55,1,6050,1,1,2,9,24000,1007588,11103
NA,NA,56,6,8740,1,1,1,20,308000,1007588,11103
NA,NA,54,NA,NA,2,1,1,18,0,1007588,11103
NA,NA,20,NA,NA,1,5,1,16,0,1007588,11103
11,NA,60,6,1300,1,1,1,22,40000,1007588,8303
1,78,53,4,800,2,1,1,21,35000,1007588,8303
NA,NA,16,NA,NA,1,5,1,13,0,1007588,8303
1,96,71,5,1530,1,1,1,21,140030,1007588,11103
NA,NA,73,NA,NA,2,1,1,6,58800,1007588,11103
NA,NA,67,1,6260,1,2,1,8,12000,1007588,11103
2,154,21,1,4720,2,5,1,19,1500,1007588,8303
2,127,21,1,4720,2,5,1,19,3000,1007588,8303
NA,NA,46,6,6420,1,1,1,9,40000,1007588,11103
NA,NA,43,NA,NA,2,1,1,1,0,1007588,11103
1,87,23,1,5820,1,5,1,16,35000,1007588,11103
1,70,22,1,6720,1,5,1,19,20001,1007588,11103
NA,NA,9,NA,NA,1,5,1,7,NA,1007588,11103
1,95,36,1,4840,1,1,1,21,105000,1007588,11104
1,88,35,2,2320,2,1,1,21,37000,1007588,11104
NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11104
1,91,23,1,565,1,5,1,21,30000,1007588,11106
1,69,23,1,8740,2,5,1,21,35000,1007588,11106
NA,NA,43,NA,NA,2,1,2,9,0,1007588,11103
1,64,44,1,6330,1,1,2,16,35000,1007588,11103
NA,NA,11,NA,NA,2,5,1,9,NA,1007588,11103
NA,NA,8,NA,NA,1,5,1,5,NA,1007588,11103
1,82,58,6,205,1,1,1,22,134200,1007588,11104
2,97,48,6,205,2,1,1,20,39000,1007588,11104
1,95,27,1,4800,2,5,1,20,50000,1007588,11104
1,86,72,4,3255,2,2,1,20,116000,1007588,11104
9,168,21,4,5000,1,5,1,19,3100,1007588,8303
1,91,44,5,1965,1,1,1,19,64000,1007588,11104
NA,NA,42,1,410,2,1,1,20,0,1007588,11104
NA,NA,13,NA,NA,1,5,1,10,NA,1007588,11104
NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11104
1,175,67,1,310,1,3,1,15,72000,1007588,11103
NA,NA,31,1,800,1,2,1,20,0,1007588,11103
NA,NA,11,NA,NA,1,5,1,8,NA,1007588,11103
1,82,27,5,3640,2,1,1,19,31000,1007588,11104
1,104,28,1,4500,1,1,2,19,35000,1007588,11104
NA,NA,5,NA,NA,2,5,2,1,NA,1007588,11104
1,224,20,2,2750,2,5,1,19,17100,1007588,8303
NA,NA,80,NA,NA,1,1,1,12,10800,1007588,11103
1,94,53,4,430,1,1,1,21,133000,1007588,8303
1,107,51,1,5940,2,1,1,21,22000,1007588,8303
1,120,23,2,2310,2,5,1,21,12000,1007588,8303
1,94,48,1,140,1,1,1,19,78000,1007588,11104
1,94,22,1,3320,1,5,1,18,4000,1007588,11104
1,201,19,1,4020,1,5,1,18,9000,1007588,11104
NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11104
NA,NA,44,NA,NA,2,1,1,16,0,1007588,11104
1,72,50,2,9130,1,3,1,16,20000,1007588,11104
NA,NA,94,NA,NA,2,2,1,18,0,1007588,8303
1,83,50,5,700,2,3,1,16,73000,1007588,11103
1,75,56,1,6050,2,1,2,5,14000,1007588,11103
NA,NA,67,NA,NA,1,1,2,5,12000,1007588,11103
1,80,49,1,4710,1,1,2,16,42000,1007588,11104
1,107,44,1,4320,2,1,2,19,22000,1007588,11104
1,227,24,1,4760,1,5,1,17,16000,1007588,11104
NA,NA,16,NA,NA,2,5,1,13,0,1007588,11104
1,105,26,4,4610,2,3,1,16,12000,1007588,11103
NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103
NA,NA,52,1,7330,1,5,1,14,28000,1007588,11103
NA,NA,48,NA,NA,2,2,1,13,10100,1007588,11103
2,182,18,1,5240,2,5,1,18,1200,1007588,11106
NA,NA,18,1,4220,1,5,1,18,3400,1007588,8303
NA,NA,81,NA,NA,2,2,1,1,20800,1007588,11104
NA,NA,88,NA,NA,2,2,1,18,20300,1007588,11103
NA,NA,63,3,2010,2,2,1,18,34200,1007588,11104
1,194,19,1,4150,2,5,1,18,3000,1007588,11104
NA,NA,71,NA,NA,1,5,1,19,15500,1007588,11103
1,80,54,1,6765,1,4,1,16,26000,1007588,11104
2,142,20,1,4720,2,5,1,16,5700,1007588,11104
NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11104
NA,NA,73,6,4850,2,2,1,19,95900,1007588,11106
NA,NA,18,1,4760,1,5,1,19,5000,1007588,8303
1,101,34,1,5940,2,5,1,21,28000,1007588,11104
1,100,32,1,3630,1,5,1,19,44800,1007588,11104
NA,NA,64,2,630,1,1,1,19,78800,1007588,8303
1,98,61,2,3255,2,1,1,20,51000,1007588,8303
1,91,57,1,600,1,1,1,19,106000,1007588,8303
1,89,56,3,2310,2,1,1,23,89000,1007588,8303
1,198,21,1,4430,1,5,1,19,6000,1007588,8303
9,197,20,1,4110,2,5,1,18,14000,1007588,8303
1,133,78,1,4430,1,1,1,16,34800,1007588,11106
NA,NA,78,NA,NA,2,1,1,19,53200,1007588,11106
1,272,55,2,5120,2,5,1,16,30000,1007588,11106
NA,NA,80,NA,NA,2,5,1,20,8400,1007588,11106
NA,NA,82,1,1320,1,1,1,22,37800,1007588,11106
NA,NA,74,NA,NA,2,1,1,21,16200,1007588,11106
NA,NA,46,1,5000,2,1,1,19,0,1007588,11103
1,98,52,1,140,1,1,1,18,200000,1007588,11103
1,98,24,2,5700,1,5,1,17,75000,1007588,11103
NA,NA,61,1,4720,2,1,1,19,9600,1007588,11103
NA,NA,60,NA,NA,1,1,1,19,13000,1007588,11103
1,272,38,3,4230,1,5,1,16,32000,1007588,11103
NA,NA,33,NA,NA,1,5,1,15,0,1007588,11103
1,93,32,4,5700,2,5,1,19,30000,1007588,11103
NA,NA,16,NA,NA,2,5,1,14,0,1007588,11103
NA,NA,15,NA,NA,2,5,1,12,0,1007588,11103
NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103
1,83,38,4,4250,1,1,1,16,29000,1007588,11103
11,NA,38,3,4610,2,1,1,16,15300,1007588,11103
1,94,36,2,2300,2,1,1,20,19000,1007588,11104
1,61,37,1,1107,1,1,1,18,56000,1007588,11104
NA,NA,15,NA,NA,2,5,1,13,0,1007588,11104
NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11104
NA,NA,81,NA,NA,1,1,1,18,32300,1007588,11104
2,75,22,1,6050,1,5,2,5,20800,1007588,11103
NA,NA,58,5,9810,1,1,1,19,80000,1007588,11106
NA,NA,59,NA,NA,2,1,1,20,0,1007588,11106
1,159,24,1,4760,2,5,1,21,20000,1007588,11106
1,98,22,1,800,2,5,1,21,10000,1007588,11106
NA,NA,19,1,5240,1,5,1,18,2500,1007588,11106
1,94,35,1,220,1,1,1,21,70000,1007588,11106
NA,NA,33,1,5120,2,1,1,20,0,1007588,11106
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11106
NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106
NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11106
1,93,22,2,4600,2,5,1,19,4400,1007588,11103
1,215,23,1,4130,2,5,1,21,34300,1007588,11103
1,191,23,1,4110,2,5,1,21,8000,1007588,11103
1,214,22,2,3955,1,5,1,19,1900,1007588,11103
NA,NA,94,NA,NA,1,2,1,15,6600,1007588,11104
1,50,63,1,9130,1,1,1,15,60000,1007588,11106
NA,NA,61,NA,NA,2,1,1,8,0,1007588,11106
NA,NA,34,NA,NA,2,5,1,20,0,1007588,11106
1,50,33,1,7200,1,5,1,20,39000,1007588,11106
1,177,29,3,230,2,1,1,19,15000,1007588,11106
NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106
11,NA,23,3,4620,2,5,1,18,3000,1007588,11106
11,NA,79,7,4810,1,1,1,22,523000,1007588,8303
NA,NA,78,NA,NA,2,1,1,22,12000,1007588,8303
9,78,74,1,220,1,1,1,21,111500,1007588,8303
1,84,60,1,5940,2,1,1,19,54500,1007588,8303
NA,NA,79,NA,NA,2,1,1,16,3600,1007588,8303
1,120,81,6,430,1,1,1,21,2801,1007588,8303
NA,NA,18,1,5240,2,5,1,16,26010,1007588,8303
NA,NA,79,NA,NA,2,2,1,11,21400,1007588,11103
NA,NA,47,NA,NA,2,1,1,16,1500,1007588,11103
1,68,31,3,3647,2,1,1,18,40000,1007588,11103
1,63,29,5,5860,1,5,1,16,28400,1007588,11103
NA,NA,51,NA,NA,1,1,1,15,2900,1007588,11103
NA,NA,49,NA,NA,2,5,1,18,9500,1007588,11103
NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103
NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103
1,68,26,1,4760,2,5,2,16,1000,1007588,11103
NA,NA,16,NA,NA,2,5,2,11,0,1007588,11103
NA,NA,8,NA,NA,1,5,2,5,NA,1007588,11103
NA,NA,8,NA,NA,1,5,1,3,NA,1007588,11103
NA,NA,18,NA,NA,2,5,1,18,1300,1007588,11106
1,113,55,4,2430,2,1,1,22,240000,1007588,8303
1,159,55,1,9620,1,1,1,21,30000,1007588,8303
NA,NA,24,1,5240,1,5,1,16,0,1007588,8303
NA,NA,51,NA,NA,2,3,1,14,17200,1007588,8303
NA,NA,55,NA,NA,1,3,1,21,9000,1007588,11103
1,107,58,1,1530,2,3,1,18,81000,1007588,11103
1,82,33,1,3420,2,1,1,21,36000,1007588,11104
1,67,31,1,8740,1,1,1,19,22000,1007588,11104
NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11104
NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11104
NA,NA,45,9,9920,2,5,1,13,4200,1007588,11106
1,51,24,1,9620,1,5,1,17,13000,1007588,11106
NA,NA,18,9,9920,2,5,1,18,0,1007588,11106
NA,NA,17,NA,NA,1,5,1,14,9600,1007588,11106
NA,NA,11,NA,NA,2,5,1,8,NA,1007588,11106
1,31,54,5,6830,1,1,1,21,105700,1007588,11103
NA,NA,49,4,4610,2,1,1,19,0,1007588,11103
1,31,23,1,6050,1,5,1,16,5000,1007588,11103
NA,NA,22,1,4720,1,5,1,20,120,1007588,11103
NA,NA,17,NA,NA,1,5,1,14,0,1007588,11103
NA,NA,11,NA,NA,2,5,1,7,NA,1007588,11103
NA,NA,9,NA,NA,2,5,1,5,NA,1007588,11103
10,199,19,1,4150,1,5,1,19,4100,1007588,8303
1,88,33,1,5120,1,5,1,19,47000,1007588,11103
11,NA,37,1,630,2,1,1,21,70000,1007588,8303
1,72,46,1,340,1,1,1,20,127000,1007588,8303
NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,8303
NA,NA,75,NA,NA,1,1,1,21,24400,1007588,11103
NA,NA,68,NA,NA,2,1,1,21,19400,1007588,11103
1,74,58,1,7000,1,1,2,12,40000,1007588,11104
NA,NA,56,1,6040,2,1,1,9,9600,1007588,11104
1,84,27,1,4700,1,5,1,19,95000,1007588,11104
1,110,30,1,4760,2,5,1,19,45000,1007588,11104
1,91,49,1,5700,2,1,1,21,100000,1007588,11106
NA,NA,48,1,9030,1,1,1,21,16100,1007588,11106
NA,NA,48,NA,NA,2,1,1,16,0,1007588,11104
1,279,46,7,4210,1,1,1,19,66000,1007588,11104
NA,NA,82,NA,NA,1,2,1,19,23000,1007588,8303
NA,NA,55,1,725,1,5,1,20,524000,1007588,8303
NA,NA,48,NA,NA,2,3,1,18,7700,1007588,8303
1,66,19,1,4030,2,5,1,20,15000,1007588,8303
NA,NA,19,NA,NA,2,5,1,19,0,1007588,8303
1,200,23,1,5700,2,5,2,20,15000,1007588,11103
1,177,25,1,2340,1,5,1,21,10000,1007588,11103
1,116,22,1,5700,2,5,1,20,10000,1007588,11103
1,96,30,4,1760,2,5,1,22,31000,1007588,8303
1,106,22,1,2630,1,5,1,21,8000,1007588,8303
NA,NA,55,NA,NA,1,1,1,9,34800,1007588,11103
1,79,51,3,2310,1,1,1,22,75000,1007588,11106
1,83,46,1,5400,2,1,1,21,700,1007588,11106
NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106
1,127,47,6,430,1,1,1,21,349000,1007588,11106
1,100,49,3,5700,2,1,1,19,40000,1007588,11106
1,95,23,3,2200,2,5,1,15,12500,1007588,11106
NA,NA,20,1,4110,2,5,1,19,2500,1007588,11106
NA,NA,43,1,4220,1,3,2,16,0,1007588,11104
NA,NA,76,NA,NA,1,3,1,14,10800,1007588,8303
1,73,35,3,3850,1,1,1,19,130000,1007588,11104
1,90,37,3,2015,2,1,1,21,65000,1007588,11104
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104
NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11104
1,88,61,3,800,1,1,1,23,118100,1007588,11104
1,82,60,3,3255,2,1,1,20,28400,1007588,11104
11,NA,65,6,8320,2,1,1,13,53200,1007588,8303
1,90,54,1,2630,1,1,1,19,102000,1007588,8303
2,96,20,1,5700,2,5,1,19,40000,1007588,8303
NA,NA,19,NA,NA,1,5,1,19,12001,1007588,8303
1,93,43,1,5240,2,1,1,18,26000,1007588,11106
1,93,45,1,5620,1,1,1,16,30000,1007588,11106
1,93,20,1,4020,1,5,1,19,11200,1007588,11106
NA,NA,17,NA,NA,2,5,1,14,0,1007588,11106
NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11106
NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11106
1,156,48,1,2630,2,3,1,21,69000,1007588,11106
9,218,22,1,4720,1,5,1,20,8000,1007588,11106
NA,NA,33,1,4760,2,1,1,22,22000,1007588,8303
1,107,30,1,1020,1,1,1,24,143230,1007588,8303
NA,NA,70,NA,NA,2,5,1,19,44100,1007588,8303
NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103
1,82,51,1,1240,1,1,1,22,504000,1007588,11106
1,83,67,1,2200,2,1,1,22,48300,1007588,11106
NA,NA,18,NA,NA,2,5,1,14,0,1007588,11106
NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106
1,216,39,3,3740,1,5,1,18,300000,1007588,8303
NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303
NA,NA,7,NA,NA,1,5,1,3,NA,1007588,8303
NA,NA,34,1,5620,2,5,1,16,0,1007588,8303
1,162,66,6,5120,2,1,1,21,62900,1007588,8303
1,144,68,6,5120,1,1,1,21,48800,1007588,8303
11,NA,68,7,10,2,3,1,22,150000,1007588,8303
