"JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
NA,NA,76,NA,NA,2,2,1,18,8700,1007588,11104
NA,NA,79,NA,NA,1,3,1,22,54900,1007588,11106
1,102,34,1,7700,1,1,1,19,55000,1007588,11103
NA,NA,33,1,5240,2,1,1,19,0,1007588,11103
NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103
NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11103
1,117,56,6,4650,2,1,1,19,10100,1007588,11104
NA,NA,65,6,8320,1,1,1,16,10900,1007588,11104
NA,NA,24,1,4760,1,5,1,19,27500,1007588,11104
NA,NA,46,1,6050,2,1,1,1,26000,1007588,11103
1,76,53,1,6050,1,1,1,1,10000,1007588,11103
1,108,29,1,9640,1,5,2,16,18000,1007588,11103
1,116,24,1,4760,2,5,1,16,32000,1007588,11103
1,219,19,1,4430,2,5,1,16,6000,1007588,11103
NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11103
NA,NA,66,NA,NA,1,1,1,9,7900,1007588,11103
NA,NA,66,NA,NA,2,1,1,8,17600,1007588,11103
1,99,34,1,3420,2,1,1,16,30000,1007588,11103
NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11103
NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103
1,120,38,6,6440,1,1,1,16,13700,1007588,11103
NA,NA,69,NA,NA,2,3,1,17,9900,1007588,11106
NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103
1,61,55,1,7750,1,1,2,21,80000,1007588,11106
NA,NA,49,NA,NA,2,1,1,16,0,1007588,11106
10,134,21,1,4110,1,5,1,19,12000,1007588,11106
10,109,19,1,4020,1,5,1,16,18800,1007588,11106
NA,NA,65,5,430,2,1,1,19,54000,1007588,11106
NA,NA,69,5,1440,1,1,1,21,99800,1007588,11106
1,91,44,1,740,2,1,1,21,96000,1007588,11104
1,92,48,1,4850,1,1,1,21,95000,1007588,11104
NA,NA,11,NA,NA,2,5,1,9,NA,1007588,11104
NA,NA,8,NA,NA,2,5,1,6,NA,1007588,11104
1,92,39,4,2310,2,1,1,21,61000,1007588,11106
1,107,43,1,2000,1,1,1,19,45000,1007588,11106
NA,NA,7,NA,NA,2,5,1,5,NA,1007588,11106
1,100,64,2,420,1,1,1,22,84000,1007588,8303
1,88,63,3,2310,2,1,1,22,103000,1007588,8303
NA,NA,49,NA,NA,2,1,1,21,1400,1007588,11106
11,NA,50,6,1006,1,1,1,21,353500,1007588,11106
NA,NA,24,1,3245,2,5,1,20,800,1007588,11106
NA,NA,20,6,1006,2,5,1,19,3000,1007588,11106
NA,NA,76,1,430,1,1,1,22,79100,1007588,11104
NA,NA,72,2,2200,2,1,1,24,8200,1007588,11104
NA,NA,72,NA,NA,1,1,1,22,32400,1007588,8303
NA,NA,63,8,5820,2,1,1,21,14400,1007588,8303
1,87,34,5,5700,1,1,1,18,29900,1007588,11106
NA,NA,27,1,4510,2,1,1,16,0,1007588,11106
NA,NA,3,NA,NA,1,5,1,1,NA,1007588,11106
NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
1,85,56,4,2200,1,1,1,24,90000,1007588,8303
1,121,49,4,800,2,1,1,21,40000,1007588,8303
NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303
NA,NA,12,NA,NA,2,5,1,9,NA,1007588,8303
NA,NA,29,3,4610,2,5,2,20,0,1007588,8303
NA,NA,36,1,6050,2,5,2,16,0,1007588,11103
NA,NA,10,NA,NA,2,5,1,6,NA,1007588,11103
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103
NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11103
1,97,41,1,7200,1,5,2,9,18000,1007588,11103
NA,NA,50,1,6050,2,2,1,9,24000,1007588,11103
NA,NA,18,NA,NA,2,5,2,18,0,1007588,11103
NA,NA,13,NA,NA,1,5,2,10,NA,1007588,11103
1,92,32,1,1107,2,5,2,22,40000,1007588,11104
1,87,39,1,7720,1,1,2,16,51000,1007588,11103
1,87,40,1,7720,2,1,2,16,22000,1007588,11103
NA,NA,13,NA,NA,1,5,1,8,NA,1007588,11103
NA,NA,15,NA,NA,2,5,1,13,0,1007588,11103
NA,NA,30,NA,NA,2,5,2,16,0,1007588,11103
NA,NA,55,NA,NA,2,2,2,9,0,1007588,11103
NA,NA,72,NA,NA,2,3,1,20,19100,1007588,8303
2,205,65,3,5320,2,2,1,21,30800,1007588,8303
11,NA,37,6,430,2,1,1,19,16000,1007588,11104
1,115,38,1,2600,1,1,1,19,160300,1007588,11104
NA,NA,9,NA,NA,1,5,1,7,NA,1007588,11104
NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11104
NA,NA,5,NA,NA,1,5,1,3,NA,1007588,11104
1,81,52,1,5240,2,1,1,17,42000,1007588,11106
1,111,48,2,4820,1,1,1,22,504000,1007588,11106
11,NA,29,5,2540,2,3,1,16,48000,1007588,11106
1,110,21,1,4350,2,5,1,16,18000,1007588,11106
1,86,54,2,800,2,1,1,21,42630,1007588,11106
1,48,51,6,3630,1,1,1,19,14000,1007588,11106
NA,NA,19,NA,NA,1,5,1,18,12000,1007588,8303
10,94,43,6,2910,1,1,1,21,67850,1007588,8303
1,116,30,1,2200,2,1,1,22,16000,1007588,8303
NA,NA,21,NA,NA,2,5,1,16,5100,1007588,11104
1,108,38,1,4720,2,1,2,19,24000,1007588,8303
10,85,40,1,4250,1,1,2,16,18000,1007588,8303
1,132,64,6,2100,2,5,1,23,27000,1007588,11104
NA,NA,60,NA,NA,1,5,1,21,1000,1007588,11104
NA,NA,74,NA,NA,2,1,1,16,243800,1007588,8303
NA,NA,84,NA,NA,1,1,1,15,0,1007588,8303
9,105,37,1,4760,2,3,1,19,7000,1007588,8303
NA,NA,65,1,7855,1,4,1,24,8000,1007588,8303
2,76,53,1,6050,1,1,1,1,22800,1007588,11104
1,91,39,1,5000,2,4,1,18,33600,1007588,8303
NA,NA,19,9,9920,1,5,1,16,0,1007588,8303
NA,NA,14,NA,NA,2,5,1,11,NA,1007588,8303
1,90,48,1,220,1,3,1,19,58000,1007588,8303
11,NA,39,6,2630,2,5,1,21,13000,1007588,11106
11,NA,66,1,4040,1,3,1,17,60100,1007588,8303
NA,NA,22,NA,NA,2,5,1,19,2000,1007588,8303
1,94,64,7,3040,1,1,1,23,190400,1007588,8303
1,145,61,7,3040,2,1,1,23,154400,1007588,8303
1,204,27,1,4110,1,5,1,19,12000,1007588,8303
1,145,23,1,3645,2,5,1,19,33600,1007588,8303
NA,NA,65,NA,NA,1,3,1,21,43400,1007588,8303
NA,NA,66,5,1530,1,3,1,21,23400,1007588,8303
1,80,31,1,3600,1,3,1,9,35000,1007588,8303
1,70,32,1,6440,1,5,1,18,91000,1007588,8303
1,96,27,1,4130,1,5,1,19,26200,1007588,8303
2,120,25,1,4720,1,5,1,19,46300,1007588,8303
NA,NA,34,NA,NA,1,5,1,22,0,1007588,11103
NA,NA,61,NA,NA,2,3,1,13,13200,1007588,8303
1,109,58,1,10,1,1,1,21,514000,1007588,11106
1,106,49,1,120,2,1,1,18,110000,1007588,11106
1,73,21,1,5620,1,5,1,16,4500,1007588,11106
1,86,28,1,2310,2,5,1,22,47000,1007588,8303
9,98,26,1,2200,1,5,1,21,35000,1007588,8303
NA,NA,24,2,4600,2,5,1,19,6000,1007588,8303
NA,NA,67,2,2310,2,5,1,22,0,1007588,8303
11,NA,63,6,430,1,1,1,19,41500,1007588,8303
11,NA,59,6,2600,2,1,1,18,9400,1007588,8303
NA,NA,78,NA,NA,1,1,1,21,182600,1007588,11106
NA,NA,76,NA,NA,2,1,1,20,9500,1007588,11106
1,70,36,1,6320,1,4,1,16,70000,1007588,11104
NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11104
1,88,60,7,430,1,1,1,19,192000,1007588,11106
NA,NA,59,1,430,2,1,1,19,0,1007588,11106
1,81,48,1,1530,2,1,1,21,35000,1007588,11103
1,217,52,3,7700,1,1,1,19,88000,1007588,11103
NA,NA,21,NA,NA,1,5,1,19,0,1007588,11103
NA,NA,16,NA,NA,1,5,1,13,0,1007588,11103
NA,NA,48,1,6050,2,3,1,13,4200,1007588,11103
NA,NA,9,NA,NA,2,5,1,7,NA,1007588,11103
NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11103
NA,NA,47,1,6050,1,5,1,9,18800,1007588,11103
1,97,50,1,430,1,5,2,18,76001,1007588,11106
1,152,48,1,4510,2,5,1,20,58000,1007588,11106
11,NA,43,6,4600,2,1,1,20,36000,1007588,11103
1,94,43,1,4700,1,1,1,21,41000,1007588,11103
NA,NA,13,NA,NA,2,5,1,11,NA,1007588,11103
NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103
1,64,60,1,7000,1,1,1,15,40000,1007588,11103
1,93,59,1,4610,2,1,1,9,28000,1007588,11103
NA,NA,35,1,5520,2,5,1,16,14000,1007588,11103
1,85,23,1,4720,2,5,1,19,7000,1007588,11103
NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11103
NA,NA,38,9,9920,1,1,2,14,0,1007588,11103
1,85,24,1,9620,2,5,1,19,35000,1007588,11106
11,NA,32,1,5120,1,4,2,19,56000,1007588,11106
NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106
NA,NA,4,NA,NA,1,5,1,1,NA,1007588,11106
11,NA,58,6,2000,2,3,1,22,31000,1007588,11104
1,54,58,3,3800,2,5,1,20,42000,1007588,11103
NA,NA,25,4,2540,1,5,1,21,30000,1007588,8303
NA,NA,19,1,9610,1,5,1,19,2500,1007588,8303
NA,NA,19,NA,NA,1,5,1,19,0,1007588,8303
1,68,50,1,4760,2,1,1,16,45000,1007588,8303
1,97,41,7,9130,1,1,1,15,14000,1007588,8303
1,157,20,1,5620,1,5,1,16,8000,1007588,8303
NA,NA,49,NA,NA,2,1,1,22,48000,1007588,11106
1,95,67,6,4700,1,1,1,21,21100,1007588,11106
NA,NA,12,NA,NA,1,5,1,8,NA,1007588,11106
NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106
1,152,59,2,7010,2,3,1,19,58000,1007588,11106
NA,NA,40,NA,NA,2,1,2,13,0,1007588,11106
1,152,22,1,3320,2,5,1,19,10000,1007588,11106
NA,NA,21,NA,NA,2,5,1,14,0,1007588,11106
NA,NA,19,9,9920,2,5,1,16,0,1007588,11106
1,66,60,1,4220,1,3,1,12,50000,1007588,11106
NA,NA,80,NA,NA,1,1,1,24,115000,1007588,8303
NA,NA,76,NA,NA,2,1,1,19,20000,1007588,8303
1,91,42,3,2100,1,1,1,24,145000,1007588,11104
NA,NA,35,NA,NA,2,1,1,21,500,1007588,11104
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104
NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11104
NA,NA,5,NA,NA,1,5,1,2,NA,1007588,11104
NA,NA,57,NA,NA,2,2,1,21,49400,1007588,8303
NA,NA,28,1,6050,2,1,2,16,0,1007588,11103
1,87,26,1,9640,1,1,2,14,22000,1007588,11103
NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11103
NA,NA,5,NA,NA,1,5,1,1,NA,1007588,11103
1,90,42,3,2310,2,3,1,22,99000,1007588,11104
NA,NA,69,NA,NA,2,3,1,21,9600,1007588,8303
NA,NA,72,NA,NA,2,1,1,18,33300,1007588,11104
NA,NA,72,NA,NA,1,1,1,19,34000,1007588,11104
NA,NA,20,1,4130,1,5,1,19,3500,1007588,8303
NA,NA,41,6,4920,2,1,1,19,21000,1007588,11104
1,106,43,1,4700,1,1,1,19,115000,1007588,11104
1,96,24,1,6240,1,5,1,19,28400,1007588,11104
NA,NA,16,NA,NA,1,5,1,14,0,1007588,11104
1,68,47,1,4810,2,1,1,20,200100,1007588,11106
1,91,45,7,220,1,1,1,19,160000,1007588,11106
NA,NA,4,NA,NA,2,5,1,1,NA,1007588,11106
1,85,64,1,4720,2,3,1,18,32000,1007588,11103
1,93,24,1,7320,1,5,1,16,45000,1007588,11103
NA,NA,12,NA,NA,2,5,1,9,NA,1007588,11103
NA,NA,72,NA,NA,2,1,1,21,9600,1007588,11103
NA,NA,73,NA,NA,1,1,1,21,46900,1007588,11103
NA,NA,47,3,3850,1,1,1,19,42000,1007588,11106
1,90,40,1,8740,2,1,1,18,60000,1007588,11106
NA,NA,10,NA,NA,2,5,1,7,NA,1007588,11106
NA,NA,63,NA,NA,2,1,1,21,20000,1007588,11103
