"","JWTR","JWAP","AGEP","COW","OCCP","SEX","MAR","HICOV","SCHL","PINCP","ADJINC","PUMA"
"90017",1,227,24,1,4760,1,5,1,17,16000,1007588,11104
"90018",NA,NA,16,NA,NA,2,5,1,13,0,1007588,11104
"90126",1,105,26,4,4610,2,3,1,16,12000,1007588,11103
"90127",NA,NA,2,NA,NA,1,5,1,NA,NA,1007588,11103
"90128",NA,NA,52,1,7330,1,5,1,14,28000,1007588,11103
"90129",NA,NA,48,NA,NA,2,2,1,13,10100,1007588,11103
"90176",2,182,18,1,5240,2,5,1,18,1200,1007588,11106
"90348",NA,NA,18,1,4220,1,5,1,18,3400,1007588,8303
"90699",NA,NA,81,NA,NA,2,2,1,1,20800,1007588,11104
"90789",NA,NA,88,NA,NA,2,2,1,18,20300,1007588,11103
"90837",NA,NA,63,3,2010,2,2,1,18,34200,1007588,11104
"90838",1,194,19,1,4150,2,5,1,18,3000,1007588,11104
"90987",NA,NA,71,NA,NA,1,5,1,19,15500,1007588,11103
"91024",1,80,54,1,6765,1,4,1,16,26000,1007588,11104
"91025",2,142,20,1,4720,2,5,1,16,5700,1007588,11104
"91026",NA,NA,14,NA,NA,2,5,1,11,NA,1007588,11104
"91390",NA,NA,73,6,4850,2,2,1,19,95900,1007588,11106
"91517",NA,NA,18,1,4760,1,5,1,19,5000,1007588,8303
"91951",1,101,34,1,5940,2,5,1,21,28000,1007588,11104
"91952",1,100,32,1,3630,1,5,1,19,44800,1007588,11104
"92333",NA,NA,64,2,630,1,1,1,19,78800,1007588,8303
"92334",1,98,61,2,3255,2,1,1,20,51000,1007588,8303
"92335",1,91,57,1,600,1,1,1,19,106000,1007588,8303
"92336",1,89,56,3,2310,2,1,1,23,89000,1007588,8303
"92337",1,198,21,1,4430,1,5,1,19,6000,1007588,8303
"92431",9,197,20,1,4110,2,5,1,18,14000,1007588,8303
"92634",1,133,78,1,4430,1,1,1,16,34800,1007588,11106
"92635",NA,NA,78,NA,NA,2,1,1,19,53200,1007588,11106
"92636",1,272,55,2,5120,2,5,1,16,30000,1007588,11106
"92637",NA,NA,80,NA,NA,2,5,1,20,8400,1007588,11106
"92814",NA,NA,82,1,1320,1,1,1,22,37800,1007588,11106
"92815",NA,NA,74,NA,NA,2,1,1,21,16200,1007588,11106
"93088",NA,NA,46,1,5000,2,1,1,19,0,1007588,11103
"93089",1,98,52,1,140,1,1,1,18,200000,1007588,11103
"93090",1,98,24,2,5700,1,5,1,17,75000,1007588,11103
"93093",NA,NA,61,1,4720,2,1,1,19,9600,1007588,11103
"93094",NA,NA,60,NA,NA,1,1,1,19,13000,1007588,11103
"93095",1,272,38,3,4230,1,5,1,16,32000,1007588,11103
"93096",NA,NA,33,NA,NA,1,5,1,15,0,1007588,11103
"93097",1,93,32,4,5700,2,5,1,19,30000,1007588,11103
"93098",NA,NA,16,NA,NA,2,5,1,14,0,1007588,11103
"93099",NA,NA,15,NA,NA,2,5,1,12,0,1007588,11103
"93100",NA,NA,8,NA,NA,1,5,1,6,NA,1007588,11103
"93101",1,83,38,4,4250,1,1,1,16,29000,1007588,11103
"93102",11,NA,38,3,4610,2,1,1,16,15300,1007588,11103
"93416",1,94,36,2,2300,2,1,1,20,19000,1007588,11104
"93417",1,61,37,1,1107,1,1,1,18,56000,1007588,11104
"93418",NA,NA,15,NA,NA,2,5,1,13,0,1007588,11104
"93419",NA,NA,12,NA,NA,1,5,1,10,NA,1007588,11104
"93462",NA,NA,81,NA,NA,1,1,1,18,32300,1007588,11104
"93720",2,75,22,1,6050,1,5,2,5,20800,1007588,11103
"94053",NA,NA,58,5,9810,1,1,1,19,80000,1007588,11106
"94054",NA,NA,59,NA,NA,2,1,1,20,0,1007588,11106
"94055",1,159,24,1,4760,2,5,1,21,20000,1007588,11106
"94056",1,98,22,1,800,2,5,1,21,10000,1007588,11106
"94057",NA,NA,19,1,5240,1,5,1,18,2500,1007588,11106
"94147",1,94,35,1,220,1,1,1,21,70000,1007588,11106
"94148",NA,NA,33,1,5120,2,1,1,20,0,1007588,11106
"94149",NA,NA,5,NA,NA,2,5,1,2,NA,1007588,11106
"94150",NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106
"94151",NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11106
"94540",1,93,22,2,4600,2,5,1,19,4400,1007588,11103
"94541",1,215,23,1,4130,2,5,1,21,34300,1007588,11103
"94542",1,191,23,1,4110,2,5,1,21,8000,1007588,11103
"94543",1,214,22,2,3955,1,5,1,19,1900,1007588,11103
"94793",NA,NA,94,NA,NA,1,2,1,15,6600,1007588,11104
"95120",1,50,63,1,9130,1,1,1,15,60000,1007588,11106
"95121",NA,NA,61,NA,NA,2,1,1,8,0,1007588,11106
"95122",NA,NA,34,NA,NA,2,5,1,20,0,1007588,11106
"95123",1,50,33,1,7200,1,5,1,20,39000,1007588,11106
"95124",1,177,29,3,230,2,1,1,19,15000,1007588,11106
"95125",NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106
"95150",11,NA,23,3,4620,2,5,1,18,3000,1007588,11106
"95243",11,NA,79,7,4810,1,1,1,22,523000,1007588,8303
"95244",NA,NA,78,NA,NA,2,1,1,22,12000,1007588,8303
"95401",9,78,74,1,220,1,1,1,21,111500,1007588,8303
"95402",1,84,60,1,5940,2,1,1,19,54500,1007588,8303
"95547",NA,NA,79,NA,NA,2,1,1,16,3600,1007588,8303
"95548",1,120,81,6,430,1,1,1,21,2801,1007588,8303
"95555",NA,NA,18,1,5240,2,5,1,16,26010,1007588,8303
"95875",NA,NA,79,NA,NA,2,2,1,11,21400,1007588,11103
"95876",NA,NA,47,NA,NA,2,1,1,16,1500,1007588,11103
"95877",1,68,31,3,3647,2,1,1,18,40000,1007588,11103
"95878",1,63,29,5,5860,1,5,1,16,28400,1007588,11103
"95879",NA,NA,51,NA,NA,1,1,1,15,2900,1007588,11103
"95880",NA,NA,49,NA,NA,2,5,1,18,9500,1007588,11103
"95881",NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103
"95882",NA,NA,13,NA,NA,2,5,1,9,NA,1007588,11103
"95883",1,68,26,1,4760,2,5,2,16,1000,1007588,11103
"95884",NA,NA,16,NA,NA,2,5,2,11,0,1007588,11103
"95885",NA,NA,8,NA,NA,1,5,2,5,NA,1007588,11103
"95886",NA,NA,8,NA,NA,1,5,1,3,NA,1007588,11103
"96118",NA,NA,18,NA,NA,2,5,1,18,1300,1007588,11106
"96628",1,113,55,4,2430,2,1,1,22,240000,1007588,8303
"96629",1,159,55,1,9620,1,1,1,21,30000,1007588,8303
"96630",NA,NA,24,1,5240,1,5,1,16,0,1007588,8303
"96801",NA,NA,51,NA,NA,2,3,1,14,17200,1007588,8303
"96828",NA,NA,55,NA,NA,1,3,1,21,9000,1007588,11103
"96942",1,107,58,1,1530,2,3,1,18,81000,1007588,11103
"96971",1,82,33,1,3420,2,1,1,21,36000,1007588,11104
"96972",1,67,31,1,8740,1,1,1,19,22000,1007588,11104
"96973",NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11104
"96974",NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11104
"97042",NA,NA,45,9,9920,2,5,1,13,4200,1007588,11106
"97043",1,51,24,1,9620,1,5,1,17,13000,1007588,11106
"97044",NA,NA,18,9,9920,2,5,1,18,0,1007588,11106
"97045",NA,NA,17,NA,NA,1,5,1,14,9600,1007588,11106
"97046",NA,NA,11,NA,NA,2,5,1,8,NA,1007588,11106
"97697",1,31,54,5,6830,1,1,1,21,105700,1007588,11103
"97698",NA,NA,49,4,4610,2,1,1,19,0,1007588,11103
"97699",1,31,23,1,6050,1,5,1,16,5000,1007588,11103
"97700",NA,NA,22,1,4720,1,5,1,20,120,1007588,11103
"97701",NA,NA,17,NA,NA,1,5,1,14,0,1007588,11103
"97702",NA,NA,11,NA,NA,2,5,1,7,NA,1007588,11103
"97703",NA,NA,9,NA,NA,2,5,1,5,NA,1007588,11103
"97711",10,199,19,1,4150,1,5,1,19,4100,1007588,8303
"98045",1,88,33,1,5120,1,5,1,19,47000,1007588,11103
"98176",11,NA,37,1,630,2,1,1,21,70000,1007588,8303
"98177",1,72,46,1,340,1,1,1,20,127000,1007588,8303
"98178",NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,8303
"98188",NA,NA,75,NA,NA,1,1,1,21,24400,1007588,11103
"98189",NA,NA,68,NA,NA,2,1,1,21,19400,1007588,11103
"98276",1,74,58,1,7000,1,1,2,12,40000,1007588,11104
"98277",NA,NA,56,1,6040,2,1,1,9,9600,1007588,11104
"98484",1,84,27,1,4700,1,5,1,19,95000,1007588,11104
"98485",1,110,30,1,4760,2,5,1,19,45000,1007588,11104
"98621",1,91,49,1,5700,2,1,1,21,100000,1007588,11106
"98622",NA,NA,48,1,9030,1,1,1,21,16100,1007588,11106
"98654",NA,NA,48,NA,NA,2,1,1,16,0,1007588,11104
"98655",1,279,46,7,4210,1,1,1,19,66000,1007588,11104
"98775",NA,NA,82,NA,NA,1,2,1,19,23000,1007588,8303
"98776",NA,NA,55,1,725,1,5,1,20,524000,1007588,8303
"98777",NA,NA,48,NA,NA,2,3,1,18,7700,1007588,8303
"98778",1,66,19,1,4030,2,5,1,20,15000,1007588,8303
"99068",NA,NA,19,NA,NA,2,5,1,19,0,1007588,8303
"99070",1,200,23,1,5700,2,5,2,20,15000,1007588,11103
"99071",1,177,25,1,2340,1,5,1,21,10000,1007588,11103
"99072",1,116,22,1,5700,2,5,1,20,10000,1007588,11103
"99139",1,96,30,4,1760,2,5,1,22,31000,1007588,8303
"99140",1,106,22,1,2630,1,5,1,21,8000,1007588,8303
"99201",NA,NA,55,NA,NA,1,1,1,9,34800,1007588,11103
"99308",1,79,51,3,2310,1,1,1,22,75000,1007588,11106
"99309",1,83,46,1,5400,2,1,1,21,700,1007588,11106
"99310",NA,NA,10,NA,NA,1,5,1,6,NA,1007588,11106
"99345",1,127,47,6,430,1,1,1,21,349000,1007588,11106
"99346",1,100,49,3,5700,2,1,1,19,40000,1007588,11106
"99347",1,95,23,3,2200,2,5,1,15,12500,1007588,11106
"99348",NA,NA,20,1,4110,2,5,1,19,2500,1007588,11106
"99482",NA,NA,43,1,4220,1,3,2,16,0,1007588,11104
"99532",NA,NA,76,NA,NA,1,3,1,14,10800,1007588,8303
"99598",1,73,35,3,3850,1,1,1,19,130000,1007588,11104
"99599",1,90,37,3,2015,2,1,1,21,65000,1007588,11104
"99600",NA,NA,7,NA,NA,2,5,1,4,NA,1007588,11104
"99601",NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11104
"99737",1,88,61,3,800,1,1,1,23,118100,1007588,11104
"99738",1,82,60,3,3255,2,1,1,20,28400,1007588,11104
"99761",11,NA,65,6,8320,2,1,1,13,53200,1007588,8303
"99762",1,90,54,1,2630,1,1,1,19,102000,1007588,8303
"99763",2,96,20,1,5700,2,5,1,19,40000,1007588,8303
"99810",NA,NA,19,NA,NA,1,5,1,19,12001,1007588,8303
"100004",1,93,43,1,5240,2,1,1,18,26000,1007588,11106
"100005",1,93,45,1,5620,1,1,1,16,30000,1007588,11106
"100006",1,93,20,1,4020,1,5,1,19,11200,1007588,11106
"100007",NA,NA,17,NA,NA,2,5,1,14,0,1007588,11106
"100008",NA,NA,14,NA,NA,1,5,1,11,NA,1007588,11106
"100009",NA,NA,12,NA,NA,1,5,1,9,NA,1007588,11106
"100025",1,156,48,1,2630,2,3,1,21,69000,1007588,11106
"100026",9,218,22,1,4720,1,5,1,20,8000,1007588,11106
"100029",NA,NA,33,1,4760,2,1,1,22,22000,1007588,8303
"100030",1,107,30,1,1020,1,1,1,24,143230,1007588,8303
"100079",NA,NA,70,NA,NA,2,5,1,19,44100,1007588,8303
"100450",NA,NA,87,NA,NA,1,2,1,18,21100,1007588,11103
"100560",1,82,51,1,1240,1,1,1,22,504000,1007588,11106
"100561",1,83,67,1,2200,2,1,1,22,48300,1007588,11106
"100562",NA,NA,18,NA,NA,2,5,1,14,0,1007588,11106
"100563",NA,NA,16,NA,NA,2,5,1,12,0,1007588,11106
"100785",1,216,39,3,3740,1,5,1,18,300000,1007588,8303
"100786",NA,NA,3,NA,NA,1,5,1,1,NA,1007588,8303
"100787",NA,NA,7,NA,NA,1,5,1,3,NA,1007588,8303
"100788",NA,NA,34,1,5620,2,5,1,16,0,1007588,8303
"100951",1,162,66,6,5120,2,1,1,21,62900,1007588,8303
"100952",1,144,68,6,5120,1,1,1,21,48800,1007588,8303
"101015",11,NA,68,7,10,2,3,1,22,150000,1007588,8303
"101016",NA,NA,58,4,2015,1,3,1,19,42000,1007588,8303
"101248",NA,NA,18,1,5860,1,5,1,16,9000,1007588,8303
"101520",1,91,40,1,910,2,5,1,21,102920,1007588,11103
"101521",NA,NA,17,NA,NA,2,5,1,13,0,1007588,11103
"101522",NA,NA,13,NA,NA,1,5,1,9,NA,1007588,11103
"101523",NA,NA,8,NA,NA,1,5,1,4,NA,1007588,11103
"101524",1,97,41,8,4700,1,1,1,19,10000,1007588,11103
"101670",NA,NA,18,NA,NA,1,5,1,18,0,1007588,8303
"101952",1,89,56,1,20,1,1,1,21,150000,1007588,11106
"101953",NA,NA,58,NA,NA,2,1,1,23,20000,1007588,11106
"101954",NA,NA,16,NA,NA,1,5,1,13,0,1007588,11106
"102018",NA,NA,65,2,4950,1,2,1,21,19520,1007588,11104
"102177",1,145,73,6,4920,1,1,1,17,53800,1007588,8303
"102178",NA,NA,73,NA,NA,2,1,1,15,50900,1007588,8303
"102179",1,72,35,1,4610,2,5,1,1,65000,1007588,8303
"102191",NA,NA,94,NA,NA,2,2,1,16,25500,1007588,8303
"102648",1,95,49,1,350,1,1,1,23,855000,1007588,8303
"102649",NA,NA,49,NA,NA,2,1,1,23,0,1007588,8303
"102650",NA,NA,16,NA,NA,2,5,1,13,0,1007588,8303
"102651",NA,NA,15,NA,NA,2,5,1,11,0,1007588,8303
"102704",NA,NA,19,9,9920,2,5,1,19,7900,1007588,8303
"102876",1,177,42,1,3600,2,5,1,14,35100,1007588,8303
"102877",NA,NA,23,1,4020,1,5,1,15,3400,1007588,8303
"102878",1,61,22,1,4110,2,5,1,16,20000,1007588,8303
"102879",7,169,21,1,4650,1,5,1,16,17000,1007588,8303
"102880",7,169,20,1,4610,1,5,1,19,3000,1007588,8303
"102881",NA,NA,36,NA,NA,1,5,1,17,0,1007588,8303
"102882",NA,NA,4,NA,NA,2,5,1,2,NA,1007588,8303
"102883",NA,NA,3,NA,NA,2,5,1,2,NA,1007588,8303
"102884",NA,NA,70,NA,NA,2,5,1,13,4600,1007588,8303
"102885",NA,NA,70,NA,NA,2,5,1,9,4600,1007588,8303
"102886",NA,NA,27,1,6260,1,5,1,10,6500,1007588,8303
"102887",1,63,22,1,6260,1,5,1,16,37000,1007588,8303
"103117",1,172,25,1,4050,1,1,1,21,44100,1007588,8303
"103118",1,100,24,1,3420,2,1,1,21,36000,1007588,8303
"103201",1,94,49,1,430,2,3,1,21,158000,1007588,11106
"103202",NA,NA,17,NA,NA,1,5,1,14,0,1007588,11106
"103363",1,68,53,3,5940,2,1,1,21,20000,1007588,8303
"103364",11,NA,54,1,50,1,1,1,22,120000,1007588,8303
"103399",NA,NA,26,1,4150,2,5,1,19,500,1007588,8303
"103400",NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,8303
"103401",1,203,25,1,9130,1,5,1,19,8500,1007588,8303
"103523",NA,NA,85,NA,NA,2,2,1,16,22400,1007588,8303
"103754",NA,NA,19,1,9620,1,5,1,19,3400,1007588,8303
"104150",1,74,61,1,4710,1,5,1,16,89200,1007588,11104
"104151",NA,NA,21,5,9820,1,5,1,19,12000,1007588,11104
"104152",1,102,18,1,4030,1,5,1,16,8000,1007588,11104
"104444",1,106,54,2,430,1,5,1,21,125000,1007588,8303
"104630",NA,NA,20,NA,NA,1,5,1,19,500,1007588,11106
"104723",1,96,73,1,410,1,1,1,24,37800,1007588,8303
"104724",NA,NA,72,NA,NA,2,1,1,22,11500,1007588,8303
"104936",NA,NA,42,NA,NA,2,1,1,19,5000,1007588,11106
"104937",1,100,44,1,4700,1,1,1,20,340000,1007588,11106
"104938",NA,NA,9,NA,NA,1,5,1,5,NA,1007588,11106
"104942",1,63,38,1,6050,1,5,2,9,24000,1007588,11103
"104943",1,63,42,1,6050,1,5,2,6,20000,1007588,11103
"104944",1,63,42,1,6050,2,5,2,9,12000,1007588,11103
"104945",1,63,39,1,6050,1,5,2,9,20000,1007588,11103
"104946",1,63,16,1,6050,1,5,2,6,15000,1007588,11103
"105057",NA,NA,74,NA,NA,2,2,1,18,28700,1007588,11106
"105135",1,80,43,1,5410,2,1,1,19,40000,1007588,11106
"105136",NA,NA,47,1,1965,1,1,1,19,0,1007588,11106
"105137",NA,NA,6,NA,NA,2,5,1,3,NA,1007588,11106
"105138",NA,NA,4,NA,NA,1,5,1,2,NA,1007588,11106
"105329",NA,NA,18,9,9920,2,5,1,18,7900,1007588,8303
"105396",1,115,68,2,2200,1,3,1,24,132000,1007588,8303
"105548",10,80,55,1,6050,1,1,2,9,24000,1007588,11106
"105702",1,82,79,3,2330,2,2,1,21,44000,1007588,11103
"105769",1,104,31,1,430,2,5,1,21,55000,1007588,8303
"105770",1,168,29,1,4650,1,5,1,20,25000,1007588,8303
"105788",NA,NA,77,NA,NA,1,3,1,16,20000,1007588,8303
"106040",1,67,39,3,230,1,1,1,21,70000,1007588,11103
"106041",1,73,35,3,4200,2,1,1,16,60000,1007588,11103
"106158",NA,NA,33,1,9140,1,5,1,19,25200,1007588,11104
"106241",1,63,25,1,6050,1,5,2,16,7000,1007588,11103
"106242",1,69,19,1,6050,1,5,2,16,10000,1007588,11103
"106243",1,75,46,1,6050,1,5,2,12,36000,1007588,11103
"106244",1,69,36,1,6050,1,5,2,16,8000,1007588,11103
"106245",1,69,28,1,6050,1,5,2,16,10000,1007588,11103
"106246",1,75,23,1,6050,1,5,2,16,13000,1007588,11103
"106283",NA,NA,55,1,1550,1,1,1,19,70000,1007588,11103
"106284",1,93,47,3,5000,2,1,1,19,70000,1007588,11103
"106285",1,129,20,1,4110,2,5,1,19,25000,1007588,11103
"106286",1,199,19,1,4150,1,5,1,19,2400,1007588,11103
"106382",1,102,56,2,800,2,5,1,22,67000,1007588,11106
"106444",1,75,52,1,4920,2,1,1,1,40000,1007588,11103
"106445",1,73,22,4,2340,2,5,1,20,12500,1007588,11103
"106446",1,109,19,1,4720,2,5,1,18,300,1007588,11103
"106503",1,88,30,3,565,2,5,1,21,40000,1007588,11103
"106504",NA,NA,70,NA,NA,2,1,1,9,2400,1007588,11103
"106505",NA,NA,70,NA,NA,1,1,1,1,7200,1007588,11103
"106656",1,89,21,5,7140,1,5,1,18,28030,1007588,11106
"106737",1,71,54,3,740,2,1,1,20,50000,1007588,11103
"106738",1,74,54,3,3820,1,1,1,17,100000,1007588,11103
"106819",1,112,74,2,2050,2,5,1,22,24000,1007588,11103
"106822",NA,NA,67,NA,NA,1,3,1,19,34800,1007588,11104
"106823",1,79,30,1,6230,1,5,1,21,13700,1007588,11104
"106903",1,76,54,1,8220,1,1,1,1,33000,1007588,11103
"106904",NA,NA,50,NA,NA,2,1,1,6,0,1007588,11103
"106905",1,54,31,1,9640,2,5,1,16,6000,1007588,11103
"106906",1,69,29,1,8740,2,5,1,1,28000,1007588,11103
"106907",1,64,20,1,6050,1,5,1,14,20000,1007588,11103
"106908",NA,NA,10,NA,NA,1,5,1,7,NA,1007588,11103
"106909",NA,NA,9,NA,NA,1,5,1,8,NA,1007588,11103
"106910",NA,NA,8,NA,NA,1,5,1,3,NA,1007588,11103
"106911",NA,NA,6,NA,NA,1,5,1,5,NA,1007588,11103
"106912",NA,NA,73,NA,NA,1,1,1,5,23200,1007588,11103
"106913",NA,NA,71,1,9620,2,1,1,6,0,1007588,11103
"106914",1,64,34,1,6050,1,1,1,15,30000,1007588,11103
"106920",1,69,33,7,10,1,5,1,21,60000,1007588,8303
"107064",1,83,57,1,5700,2,1,1,21,75000,1007588,11104
"107065",10,152,54,1,530,1,1,1,19,35000,1007588,11104
"107652",1,80,33,5,9810,1,1,1,22,90000,1007588,11103
"107653",NA,NA,38,1,650,2,1,1,22,20000,1007588,11103
"107654",NA,NA,2,NA,NA,2,5,1,NA,NA,1007588,11103
"107655",NA,NA,0,NA,NA,1,5,1,NA,NA,1007588,11103
"107656",NA,NA,48,3,430,2,3,1,22,36000,1007588,8303
"107657",NA,NA,9,NA,NA,2,5,1,6,NA,1007588,8303
"107839",NA,NA,35,1,7330,1,5,1,14,200,1007588,11104
"108057",NA,NA,69,NA,NA,2,3,1,21,60010,1007588,11106
"108249",1,102,58,1,360,1,1,1,24,150000,1007588,8303
"108250",1,142,67,4,1965,2,1,1,22,66800,1007588,8303
"108354",NA,NA,58,1,1760,2,1,1,21,57000,1007588,11106
"108355",8,88,61,1,1760,1,1,1,21,126000,1007588,11106
"108512",1,93,43,6,4000,1,1,1,21,11000,1007588,8303
"108513",NA,NA,46,NA,NA,2,1,1,20,0,1007588,8303
"108514",1,99,18,1,4720,2,5,1,14,4000,1007588,8303
"108515",NA,NA,13,NA,NA,1,5,1,10,NA,1007588,8303
"108535",1,63,61,7,4810,1,1,1,22,194000,1007588,11104
"108536",NA,NA,58,NA,NA,2,1,1,21,0,1007588,11104
"108537",1,94,25,3,2310,2,5,1,21,47600,1007588,11104
"108917",1,92,51,1,7700,1,1,1,1,22000,1007588,11104
"108918",1,66,51,1,136,2,1,1,16,17000,1007588,11104
"108919",1,78,23,1,5350,1,5,1,16,10000,1007588,11104
"108920",1,151,20,2,5860,1,5,1,19,10000,1007588,11104
"108921",NA,NA,70,NA,NA,2,2,1,1,0,1007588,11104
"109261",NA,NA,21,1,4720,1,5,1,19,1300,1007588,8303
"109262",NA,NA,20,1,3540,1,5,1,19,4000,1007588,8303
"109324",1,160,61,1,2750,1,1,1,22,37100,1007588,11104
"109325",NA,NA,64,3,2440,2,1,1,22,5000,1007588,11104
"109583",NA,NA,24,1,1530,2,5,1,21,12000,1007588,8303
"109709",NA,NA,32,NA,NA,2,1,1,19,0,1007588,11106
"109710",12,82,33,1,4840,1,1,1,21,106000,1007588,11106
"109711",NA,NA,6,NA,NA,2,5,1,2,NA,1007588,11106
"109712",NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,11106
"109713",NA,NA,0,NA,NA,2,5,1,NA,NA,1007588,11106
"109744",1,75,26,1,530,2,5,1,21,30000,1007588,11104
"109846",1,65,32,1,6050,2,3,2,16,15800,1007588,11103
"109847",NA,NA,16,NA,NA,2,5,1,12,0,1007588,11103
"109848",NA,NA,14,NA,NA,1,5,1,10,NA,1007588,11103
"109849",NA,NA,5,NA,NA,2,5,1,1,NA,1007588,11103
"109850",1,73,31,1,9600,1,5,2,19,60000,1007588,11103
"109906",1,78,29,1,8740,1,1,1,20,38000,1007588,11103
"109907",1,88,27,1,3320,2,1,1,18,35000,1007588,11103
"109908",NA,NA,1,NA,NA,1,5,1,NA,NA,1007588,11103
"110746",NA,NA,32,1,6200,1,5,2,19,0,1007588,8303
"110951",NA,NA,66,NA,NA,2,5,1,13,12200,1007588,11106
"111017",1,127,45,1,2630,2,1,1,19,79600,1007588,11106
"111018",9,114,38,1,120,2,1,1,19,96000,1007588,11106
"111019",1,148,20,1,4150,2,5,1,19,6000,1007588,11106
"111111",1,88,48,3,430,1,1,1,22,95000,1007588,11103
"111112",1,88,48,3,2310,2,1,1,22,125300,1007588,11103
"111113",NA,NA,13,NA,NA,2,5,1,10,NA,1007588,11103
"111472",1,73,49,1,1530,2,1,1,21,35000,1007588,11103
"111473",1,67,48,1,8220,1,1,1,21,23000,1007588,11103
"111474",1,94,20,1,4720,2,5,1,18,3500,1007588,11103
"111475",NA,NA,18,NA,NA,2,5,1,18,0,1007588,11103
"111476",NA,NA,13,NA,NA,1,5,1,10,NA,1007588,11103
"111570",NA,NA,78,NA,NA,1,2,1,21,321000,1007588,8303
"111693",NA,NA,59,5,630,2,3,1,21,50000,1007588,11103
"111694",1,109,36,1,4110,1,5,1,19,28000,1007588,11103
"111695",NA,NA,21,NA,NA,2,5,1,19,0,1007588,11103
"111696",NA,NA,39,9,9920,1,5,1,16,0,1007588,11103
"111754",11,NA,64,6,710,1,4,1,22,554000,1007588,8303
"111988",1,108,46,1,2850,1,5,1,20,51000,1007588,8303
"112115",1,102,50,6,4510,2,1,1,18,10700,1007588,11106
"112116",1,78,54,6,6440,1,1,1,16,349000,1007588,11106
"112117",1,203,22,1,4110,1,5,1,19,12000,1007588,11106
"112118",1,191,17,1,4130,2,5,1,14,1500,1007588,11106
"112119",1,191,17,1,4130,2,5,1,14,1200,1007588,11106
"112120",1,78,76,6,7630,1,1,1,16,46100,1007588,11106
"112121",NA,NA,75,NA,NA,2,1,1,14,14300,1007588,11106
"112145",NA,NA,20,1,4760,2,5,1,19,9200,1007588,11106
"112237",1,85,42,1,4920,1,1,1,21,100000,1007588,11106
"112238",1,63,42,3,2310,2,1,1,21,12000,1007588,11106
"112239",NA,NA,9,NA,NA,2,5,1,6,NA,1007588,11106
"112240",NA,NA,7,NA,NA,1,5,1,5,NA,1007588,11106
"112793",NA,NA,90,NA,NA,2,2,1,22,10200,1007588,11106
"113010",NA,NA,63,1,6050,1,1,1,9,22700,1007588,11106
"113011",NA,NA,63,1,9640,2,1,1,9,4800,1007588,11106
"113012",1,64,24,1,4840,1,5,1,19,10000,1007588,11106
"113013",1,76,22,1,9600,1,5,1,18,10000,1007588,11106
"113590",12,100,54,1,6260,1,1,1,17,35000,1007588,11103
"113591",NA,NA,53,NA,NA,2,1,1,15,0,1007588,11103
"113592",NA,NA,28,1,2340,1,5,1,20,0,1007588,11103
"113593",NA,NA,26,1,4720,1,5,1,20,20000,1007588,11103
"113594",NA,NA,50,NA,NA,1,1,2,16,0,1007588,11104
"113595",NA,NA,48,NA,NA,2,1,1,16,0,1007588,11104
"113596",1,121,27,3,3255,2,5,1,20,48000,1007588,11104
"113597",1,74,25,1,6260,1,5,2,16,12000,1007588,11104
"113598",NA,NA,19,NA,NA,2,5,1,14,0,1007588,11104
"113799",NA,NA,64,4,2310,2,1,1,22,41200,1007588,11103
"113800",NA,NA,65,NA,NA,1,1,1,20,71400,1007588,11103
"113967",10,110,67,6,710,2,1,1,24,150000,1007588,8303
"113968",1,87,69,2,3060,1,1,1,23,320000,1007588,8303
"113969",1,94,21,1,4720,2,5,1,20,3000,1007588,8303
"114272",NA,NA,39,6,2850,2,1,1,22,60000,1007588,8303
"114273",1,109,42,7,2100,1,1,1,22,206000,1007588,8303
"114274",NA,NA,3,NA,NA,2,5,1,2,NA,1007588,8303
"114275",NA,NA,1,NA,NA,2,5,1,NA,NA,1007588,8303
"114686",10,78,30,1,6200,1,5,1,18,25000,1007588,11104
"114687",1,86,23,5,220,2,5,1,19,23000,1007588,11103
"114688",1,83,29,5,220,1,3,1,17,35000,1007588,11103
"114768",NA,NA,19,1,5260,2,5,1,19,0,1007588,8303
"114782",NA,NA,36,1,6005,2,1,2,16,0,1007588,11106
"114783",1,69,31,1,6005,1,1,2,16,35000,1007588,11106
"114784",NA,NA,10,NA,NA,1,5,1,8,NA,1007588,11106
"114785",NA,NA,9,NA,NA,2,5,1,6,NA,1007588,11106
"114786",1,75,30,1,6050,1,5,2,16,28000,1007588,11106
"114973",1,88,27,3,5250,2,1,1,19,50000,1007588,11104
"114974",1,94,28,2,5250,1,1,1,20,50000,1007588,11104
"115007",1,100,62,3,2025,2,3,1,19,35000,1007588,11104
"115102",NA,NA,80,NA,NA,2,1,1,21,30700,1007588,8303
"115103",NA,NA,82,NA,NA,1,1,1,24,99000,1007588,8303
"115200",NA,NA,67,2,2540,2,1,1,16,32600,1007588,8303
